PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,HOA/MONTH,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),LATITUDE,LONGITUDE
Single Family Residential,180 Edison Rd,Trumbull,CT,6611,459900,3,2.5,2614,19602,1952,0,http://www.redfin.com/CT/Trumbull/180-Edison-Rd-06611/home/107198280,41.235205,-73.2177617
Condo/Co-op,646 Hope St #5,Stamford,CT,6907,600000,3,3.5,3262,0,2005,75,http://www.redfin.com/CT/Stamford/646-Hope-St-06907/unit-5/home/107101576,41.0817192,-73.5212263
Condo/Co-op,1 Broad St Ph 23C,Stamford,CT,6901,850000,3,3.5,1863,0,2009,1612,http://www.redfin.com/CT/Stamford/1-Broad-St-06901/unit-23C/home/107103981,41.0550473,-73.5429911
Single Family Residential,4680 Madison Ave,Trumbull,CT,6611,649900,4,2.5,2640,53578,2020,0,http://www.redfin.com/CT/Trumbull/4680-Madison-Ave-06611/home/107197304,41.2570939,-73.245677
Condo/Co-op,14 1st St Unit D,Stamford,CT,6905,598000,3,3.5,2064,0,2007,380,http://www.redfin.com/CT/Stamford/14-1st-St-06905/unit-D/home/107094520,41.0627092,-73.5416697
Single Family Residential,19 Solar Ridge Rd,Trumbull,CT,6611,525000,4,2.5,1960,21780,1983,0,http://www.redfin.com/CT/Trumbull/19-Solar-Ridge-Rd-06611/home/107197428,41.2762041,-73.2343424
Condo/Co-op,2539 Bedford St Unit 37B,Stamford,CT,6905,539000,3,3.5,2636,0,1984,874,http://www.redfin.com/CT/Stamford/2539-Bedford-St-06905/unit-37B/home/107117502,41.071301,-73.5425018
Single Family Residential,24 Longmeadow Rd,Trumbull,CT,6611,449000,4,2.5,3046,43995,1971,0,http://www.redfin.com/CT/Trumbull/24-Longmeadow-Rd-06611/home/107202184,41.2714854,-73.2067964
Condo/Co-op,1 Broad St Ph 23A,Stamford,CT,6901,999999,3,3.5,1825,0,2009,1499,http://www.redfin.com/CT/Stamford/1-Broad-St-06901/unit-23A/home/107119361,41.0550473,-73.5429911
Condo/Co-op,54 Hope St Unit H,Stamford,CT,6906,399000,2,3.5,2558,0,1975,443,http://www.redfin.com/CT/Stamford/54-Hope-St-06906/unit-H/home/107108507,41.0625054,-73.5266016
Single Family Residential,769 Daniels Farm Rd,Trumbull,CT,6611,454900,4,2.5,3308,45302,1847,0,http://www.redfin.com/CT/Trumbull/769-Daniels-Farm-Rd-06611/home/107205623,41.2707796,-73.2008052
Single Family Residential,3 Plumb Creek Rd,Trumbull,CT,6611,755000,4,2.5,3934,43560,2000,0,http://www.redfin.com/CT/Trumbull/3-Plumb-Creek-Rd-06611/home/107199426,41.2896997,-73.2122805
Single Family Residential,26 Pequonnock Rd,Trumbull,CT,6611,419900,4,2.5,2366,7405,1952,0,http://www.redfin.com/CT/Trumbull/26-Pequonnock-Rd-06611/home/107202943,41.2442506,-73.1908041
Single Family Residential,71 Short St,Waterbury,CT,6704,195900,3,2.5,1976,7405,2007,0,http://www.redfin.com/CT/Waterbury/71-Short-St-06704/home/53662384,41.5712834,-73.0314903
Single Family Residential,109 Stoddard Rd,Waterbury,CT,6708,250000,3,2.5,2272,16117,1960,0,http://www.redfin.com/CT/Waterbury/109-Stoddard-Rd-06708/home/53668174,41.5670128,-73.0793799
Single Family Residential,43 Melbourne Ter,Waterbury,CT,6704,240000,3,2.5,1936,6534,2020,0,http://www.redfin.com/CT/Waterbury/43-Melbourne-Ter-06704/home/53665351,41.578521,-73.04598
Single Family Residential,10 Red Maple Ln,Waterbury,CT,6704,229900,3,2.5,1852,8276,2016,0,http://www.redfin.com/CT/Waterbury/10-Red-Maple-Ln-06704/home/109541830,41.6085451,-73.0277966
Single Family Residential,650 Bunker Hill Ave,Waterbury,CT,6708,199900,3,2.5,2259,87120,1959,0,http://www.redfin.com/CT/Waterbury/650-Bunker-Hill-Ave-06708/home/53666623,41.5722817,-73.0769012
Single Family Residential,115 Kenmore Ave,Waterbury,CT,6708,309000,4,2.5,2868,11761,1990,0,http://www.redfin.com/CT/Waterbury/115-Kenmore-Ave-06708/home/53668024,41.5685885,-73.0840371
Single Family Residential,136 Ardsley Rd,Waterbury,CT,6708,259900,3,2.5,2478,15681,1970,0,http://www.redfin.com/CT/Waterbury/136-Ardsley-Rd-06708/home/53667625,41.569535,-73.0778909
Single Family Residential,190 Plaza Ave,Waterbury,CT,6710,109000,3,2.5,1568,6969,1988,0,http://www.redfin.com/CT/Waterbury/190-Plaza-Ave-06710/home/53668754,41.5685083,-73.0508537
Single Family Residential,76 Clematis Ave,Waterbury,CT,6708,159900,3,2.5,1836,7405,2008,0,http://www.redfin.com/CT/Waterbury/76-Clematis-Ave-06708/home/53664475,41.5844925,-73.0825552
