state,city,population,location
Alabama,Lake View town,1943,"Lake View town, Alabama"
Alabama,East Brewton city,2478,"East Brewton city, Alabama"
Alabama,Cuba town,346,"Cuba town, Alabama"
Alabama,Pell City city,12695,"Pell City city, Alabama"
Alabama,Moundville town,2427,"Moundville town, Alabama"
Alabama,Coffeeville town,352,"Coffeeville town, Alabama"
Alabama,Brookside town,1363,"Brookside town, Alabama"
Alabama,Glencoe city,5160,"Glencoe city, Alabama"
Alabama,Belk town,215,"Belk town, Alabama"
Alabama,Pelham city,21352,"Pelham city, Alabama"
Alabama,Bear Creek town,1070,"Bear Creek town, Alabama"
Alabama,Newville town,539,"Newville town, Alabama"
Alabama,Waterloo town,203,"Waterloo town, Alabama"
Alabama,Faunsdale town,98,"Faunsdale town, Alabama"
Alabama,Rehobeth town,1297,"Rehobeth town, Alabama"
Alabama,Coffee Springs town,228,"Coffee Springs town, Alabama"
Alabama,Lisman town,539,"Lisman town, Alabama"
Alabama,Bridgeport city,2418,"Bridgeport city, Alabama"
Alabama,Munford town,1292,"Munford town, Alabama"
Alabama,Hytop town,354,"Hytop town, Alabama"
Alabama,Kinston town,540,"Kinston town, Alabama"
Alabama,Jacksonville city,12548,"Jacksonville city, Alabama"
Alabama,Uniontown town,1775,"Uniontown town, Alabama"
Alabama,Fort Deposit town,1344,"Fort Deposit town, Alabama"
Alabama,Millry town,546,"Millry town, Alabama"
Alabama,Demopolis city,7483,"Demopolis city, Alabama"
Alabama,Lockhart town,516,"Lockhart town, Alabama"
Alabama,Gilbertown town,215,"Gilbertown town, Alabama"
Alabama,Samson city,1940,"Samson city, Alabama"
Alabama,Silverhill town,706,"Silverhill town, Alabama"
Alabama,Elba city,3940,"Elba city, Alabama"
Alabama,Webb town,1430,"Webb town, Alabama"
Alabama,Madrid town,350,"Madrid town, Alabama"
Alabama,Midfield city,5365,"Midfield city, Alabama"
Alabama,Columbia town,740,"Columbia town, Alabama"
Alabama,Hanceville city,2982,"Hanceville city, Alabama"
Alabama,McMullen town,10,"McMullen town, Alabama"
Alabama,Boligee town,328,"Boligee town, Alabama"
Alaska,Atqasuk city,233,"Atqasuk city, Alaska"
Alaska,Seward city,2693,"Seward city, Alaska"
Alaska,Fort Yukon city,583,"Fort Yukon city, Alaska"
Alaska,Buckland city,416,"Buckland city, Alaska"
Alaska,Egegik city,109,"Egegik city, Alaska"
Alaska,Hooper Bay city,1093,"Hooper Bay city, Alaska"
Alaska,Clark's Point city,62,"Clark's Point city, Alaska"
Alaska,Palmer city,5937,"Palmer city, Alaska"
Alaska,Mountain Village city,813,"Mountain Village city, Alaska"
Alaska,North Pole city,2117,"North Pole city, Alaska"
Alaska,Craig city,1201,"Craig city, Alaska"
Alaska,Akhiok city,71,"Akhiok city, Alaska"
Alaska,Old Harbor city,218,"Old Harbor city, Alaska"
Alaska,St. Mary's city,507,"St. Mary's city, Alaska"
Alaska,Kaltag city,190,"Kaltag city, Alaska"
Alaska,Aleknagik city,219,"Aleknagik city, Alaska"
Alaska,Wales city,145,"Wales city, Alaska"
Alaska,Nome city,3598,"Nome city, Alaska"
Alaska,Kwethluk city,721,"Kwethluk city, Alaska"
Alaska,Newhalen city,190,"Newhalen city, Alaska"
Alaska,Chuathbaluk city,118,"Chuathbaluk city, Alaska"
Alaska,Lower Kalskag city,282,"Lower Kalskag city, Alaska"
Alaska,Napakiak city,354,"Napakiak city, Alaska"
Alaska,Bethel city,6080,"Bethel city, Alaska"
Alaska,New Stuyahok city,510,"New Stuyahok city, Alaska"
Alaska,Bettles city,12,"Bettles city, Alaska"
